stim_type,stim_position
heart,right
flower,left
heart,left
flower,right
heart,right
flower,right
flower,right
flower,right
flower,left
flower,right
heart,left
flower,right
flower,left
heart,right
heart,right
heart,right
heart,left
flower,left
heart,right
flower,right
flower,right
flower,left
heart,left
flower,left
heart,left
heart,left
flower,right
heart,left
heart,left
heart,left
heart,left
flower,right
heart,right
flower,left
flower,left
flower,right
flower,right
heart,right
flower,right
heart,left
heart,right
heart,left
heart,right
heart,right
heart,right
flower,left
flower,left
heart,left
flower,left
flower,left
flower,right
heart,right
heart,left
heart,right
flower,left
flower,left
heart,right
flower,right
heart,left
heart,right
heart,left
flower,left
flower,right
flower,left
heart,right